name,a,b,c,e,f,g,h,i,l,m,n,o,q1,q2,q3,q4
1,6,9,2,2,8,1,6,9,6,3,8,5,9,4,6,2
2,7,1,6,1,3,8,4,3,4,4,2,7,3,2,3,9
3,2,7,8,4,3,6,6,4,8,3,4,3,5,7,4,5
4,4,4,10,7,5,6,6,9,6,9,3,7,3,2,2,6
5,4,2,7,2,2,5,5,7,6,7,8,3,8,6,2,5
6,6,9,6,2,8,1,9,5,3,3,7,7,8,6,5,6
7,6,5,10,8,9,10,7,7,7,8,3,9,2,6,2,10
8,3,9,5,7,5,5,4,5,1,8,9,8,9,2,10,2
9,6,7,7,9,6,9,6,5,6,8,8,2,1,8,4,3
10,8,4,10,7,8,9,7,9,9,7,3,5,9,9,4,2
11,4,5,6,2,6,6,1,5,9,9,7,6,2,10,5,5
12,6,8,10,6,6,9,4,4,4,8,5,8,3,1,3,6
13,10,8,1,4,4,8,3,9,3,1,6,9,8,3,7,8
14,2,3,4,5,7,6,9,9,9,5,8,4,1,6,9,5
15,2,6,7,6,3,6,4,3,7,3,10,6,8,8,3,3
16,9,6,5,4,7,7,2,5,8,1,7,9,1,5,7,2
17,10,1,7,9,3,4,5,8,9,8,9,3,4,3,5,5
18,8,10,2,10,6,7,7,3,4,8,7,9,8,3,1,3
19,6,1,5,4,8,3,6,3,6,5,5,4,6,4,5,5
20,5,10,2,5,8,5,7,1,4,6,5,8,5,1,5,8
21,3,8,8,4,8,1,9,10,5,9,4,5,1,1,7,9
22,9,2,5,4,5,8,2,3,6,7,1,2,4,7,6,5
23,7,6,6,8,5,10,9,10,4,6,3,10,4,2,9,8
24,6,2,4,4,4,4,10,8,2,4,8,1,3,5,5,5
25,8,7,2,6,1,9,9,3,8,6,7,9,6,1,7,1
26,7,3,4,8,5,8,10,9,7,7,10,1,8,9,2,9
27,7,1,1,3,3,8,2,5,7,7,8,5,8,6,5,7
28,2,2,2,8,7,3,2,5,8,9,5,9,6,4,6,7
29,7,3,8,5,3,3,2,4,1,6,1,8,10,10,9,3
30,7,2,5,2,2,7,2,7,4,3,9,5,7,5,10,4
31,5,2,10,5,6,2,8,7,6,10,3,10,3,3,3,4
32,5,10,8,2,5,3,7,9,10,1,2,9,4,8,10,2
33,5,4,3,5,3,7,3,9,7,3,4,7,5,7,4,5
34,6,4,6,5,3,3,6,10,6,2,3,6,8,8,9,8
35,7,7,7,6,2,1,1,6,4,10,10,5,7,3,9,3
36,6,7,2,10,2,6,1,4,3,3,7,9,7,2,10,5
37,9,4,8,4,9,9,4,10,8,8,2,5,6,7,5,9
38,3,10,4,4,10,5,7,4,5,5,6,3,3,10,8,6
39,8,6,4,8,9,1,8,3,2,4,2,9,8,3,6,4
40,3,5,6,4,10,5,8,3,3,10,10,5,6,4,4,4
41,5,9,4,5,8,7,2,10,9,8,5,6,5,4,8,7
42,10,7,9,10,10,6,9,7,5,9,8,3,8,6,9,7
43,4,7,3,9,7,7,1,8,9,2,9,4,3,4,3,1
44,1,10,8,2,9,7,9,3,8,4,2,7,1,3,3,2
45,4,2,9,9,7,7,8,1,7,5,3,8,8,8,7,9
46,5,4,3,3,5,3,6,7,3,6,2,7,7,8,3,3
47,6,8,3,6,8,9,2,1,6,4,9,10,8,9,4,3
48,2,8,9,7,7,2,1,2,7,9,5,3,2,2,5,9
49,3,8,10,3,6,4,2,10,9,6,4,2,6,4,8,3
50,8,10,2,2,8,3,5,1,1,7,8,2,2,7,4,9
